,ECU Absolute Time,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State
0,2023-04-17 14:16:18.681271040+08:00,1007,0.777050013,0,0.092773124,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,97.03125,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,41.359359118,13.968744636,511,741,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.437499376,0.01952941,1,1831,10600,1825,180.0,1,2,83,0.0,2.676,1.8880000000000001,-15.002341376,40,48,0.277343608,0.214843024,12.937219577,0.888668872,14.971281359999999,0.224608616,0
1,2023-04-17 14:16:19.100972032+08:00,1007,0.777050013,0,0.09765592000000001,0,855.666663244,10.780823525999999,-0.9378039239999971,0,5,0.0,97.03125,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,41.32810913,13.968744636,507,734,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.433593127,0.01952941,1,1875,10600,1825,180.0,1,2,83,0.0,2.664,1.8880000000000001,-15.002341376,40,48,0.277343608,0.214843024,12.999717616,0.883786076,15.33105,0.224608616,0
2,2023-04-17 14:16:19.551589888+08:00,1007,0.777050013,0,0.09765592000000001,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,97.03125,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,40.968734268,13.968744636,508,740,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.414061882,0.01952941,1,1829,10600,1825,180.0,1,2,83,0.0,2.692,1.872,-15.002341376,40,48,0.277343608,0.214843024,12.999717616,0.888668872,14.954928240000001,0.224608616,0
3,2023-04-17 14:16:20.001012992+08:00,1007,0.777050013,0,0.092773124,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,97.03125,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,41.24998416,13.968744636,509,739,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.429686878,0.01952941,1,1844,10600,1825,180.0,1,2,83,0.0,2.72,1.8840000000000001,-15.002341376,40,48,0.277343608,0.214843024,13.124713694,0.874020484,15.07757664,0.224608616,0
4,2023-04-17 14:16:20.451576064+08:00,1007,0.777050013,0,0.092773124,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,97.03125,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,40.93748428,13.968744636,508,740,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.410155633,0.01952941,1,1826,10600,1825,180.0,1,2,83,0.0,2.68,1.868,-15.002341376,40,48,0.277343608,0.214843024,13.124713694,0.888668872,14.930398559999999,0.224608616,0
5,2023-04-17 14:16:20.901048064+08:00,1007,0.777050013,0,0.09765592000000001,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,96.5625,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,40.999984256,13.968744636,509,742,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.414061882,0.01952941,1,1820,10600,1824,180.0,1,2,84,0.0,2.884,1.872,-15.002341376,40,48,0.277343608,0.214843024,12.937219577,0.869137688,14.8813392,0.224608616,0
6,2023-04-17 14:16:21.351696128+08:00,1007,0.777050013,0,0.09765592000000001,0,855.666663244,11.249568624000005,-0.4690588259999977,0,5,0.0,96.5625,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,40.765609346,13.968744636,505,737,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.402343135,0.01952941,1,1844,10600,1824,180.0,1,2,84,0.0,2.82,1.86,-15.002341376,40,48,0.277343608,0.214843024,13.062215655,0.87890328,15.07757664,0.224608616,0
7,2023-04-17 14:16:21.801875200+08:00,1007,0.777050013,0,0.092773124,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,96.5625,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,41.109359214,13.968744636,509,743,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.42187438,0.01952941,1,1831,10600,1824,180.0,1,2,84,0.0,2.74,1.8760000000000001,-15.002341376,40,48,0.277343608,0.214843024,13.124713694,0.87890328,14.971281359999999,0.224608616,0
8,2023-04-17 14:16:22.251460096+08:00,1007,0.777050013,0,0.09765592000000001,0,855.666663244,13.124549016000003,1.4059215660000035,0,5,0.0,97.5,11.248627440000007,14.998588224000002,0.9999528959999999,128,28,40.85935931,13.968744636,514,752,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.406249384,0.01952941,1,1765,10600,1824,180.0,1,2,84,0.0,2.708,1.864,-15.002341376,40,48,0.277343608,0.214843024,13.124713694,0.874020484,14.4316284,0.224608616,0
9,2023-04-17 14:16:22.703226112+08:00,1007,0.777050013,0,0.092773124,0,855.666663244,11.718313722000005,-0.00031372799999829226,0,5,0.0,96.5625,10.311137244000008,14.998588224000002,0.9999528959999999,128,28,40.78123434,13.968744636,508,741,-3.2767999996963226e-05,-1.6383999998481613e-05,-3.2767999996963226e-05,-1.6383999998481613e-05,2.406249384,0.01952941,1,1811,10600,1824,180.0,1,2,84,0.0,2.72,1.864,-15.002341376,40,48,0.277343608,0.214843024,13.249709772,0.864254892,14.80775016,0.224608616,0
