ECU Absolute Time,Atmospheric Pressure,Inclination Switch,Fault Code Count,Ignition Coil Current Diagnosis,Fault Light Mileage,Engine Operating Time,Ignition Advance Angle,Idling Correction Ignition Angle,Fuel Injection Prohibition Mode,Injection Mode,Bypass Delay Correction,ABV Opening,ABV Idling Correction,ABV Learning Value,Lambda Setting,Air-Fuel Ratio Rich,Closed Loop Control,Air Flow,Throttle Valve Air Flow,Intake Manifold Pressure,Intake Manifold Front Pressure,MFF_AD_ADD_MMV_REL,MFF_AD_FAC_MMV_REL,MFF_AD_ADD_MMV,MFF_AD_FAC_MMV,Fuel Injection Quantity,MFF_WUP_COR,Ignition Mode,Engine RPM,Engine RPM Limit,Idling Target RPM,Fuel Injection Start Angle,Fuel Pump State,Engine State,Engine Temperature,Water Temperature PWM,Ignition Magnetization Time,Fuel Injection Time,Closed Loop Fuel Correction,Intake Temperature,Combustion Chamber Intake Temperature,TPS Opening,TPS Idling Learning Value,Battery Voltage,O2 Voltage,Vehicle Speed,TPS Voltage,Seat Switch State,Absolute Time,X-axis Angular Velocity,Y-axis Angular Velocity,Z-axis Angular Velocity,X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Angle,Y-axis Angle,Z-axis Angle,Action
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.539000+08:00,0.21419,2.18566,0.00087,-1.89621,-2.60249,7.66385,-18.24431,37.29749,46.55929,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.589000+08:00,0.45811,3.28461,0.06207,-3.70384,1.08698,10.23761,5.7016,105.99567,56.41706,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.640000+08:00,-0.88476,-1.17151,0.00087,-2.46603,-2.26491,8.27197,-14.70258,48.46934,46.18533,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.691000+08:00,0.27539,-0.37768,-0.18272,-3.79002,0.22984,8.57603,1.40424,93.37067,50.88013,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.741000+08:00,-0.70116,1.27031,0.1836,-2.26732,-0.95767,8.72926,-6.06123,67.39854,51.28685,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.792000+08:00,-1.06748,2.00294,0.12327,-3.69426,1.76932,11.40598,8.39481,115.06868,59.38751,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.843000+08:00,-1.43379,-1.96447,0.24479,-1.80284,-3.26089,8.16902,-21.29576,30.30204,46.51587,Idle 1
2023-04-17 14:16:52.402086912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,11.24956862,-0.469058826,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.1093596,13.90624466,500,727,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.351561898,0.015623528,1,1854,10600,1822,180,1,2,87,0,2.664,1.824,-15.00234138,40,49,0.277343608,0.214843024,12.93721958,0.869137688,15.15934224,0.224608616,0,2023-04-17 14:16:52.905000+08:00,-1.61651,-1.65935,0.12327,-2.08296,1.04149,10.35492,5.63138,116.34117,59.18663,Idle 1
2023-04-17 14:16:52.852998912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.18705882,0.46843137,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.17185957,13.90624466,505,747,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.355468147,0.015623528,1,1803,10600,1822,180,1,2,87,0,2.788,1.824,-15.00234138,40,49,0.277343608,0.214843024,13.24970977,0.87890328,14.74233768,0.224608616,0,2023-04-17 14:16:52.955000+08:00,1.06835,0.35495,-0.12152,-2.21225,-0.97444,7.64708,-6.97871,66.61029,49.78478,Idle 1
2023-04-17 14:16:52.852998912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.18705882,0.46843137,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.17185957,13.90624466,505,747,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.355468147,0.015623528,1,1803,10600,1822,180,1,2,87,0,2.788,1.824,-15.00234138,40,49,0.277343608,0.214843024,13.24970977,0.87890328,14.74233768,0.224608616,0,2023-04-17 14:16:53.004000+08:00,0.88563,0.78159,-0.12152,-1.4485,-2.00154,8.3007,-13.36237,36.53049,50.3541,Idle 1
2023-04-17 14:16:52.852998912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.18705882,0.46843137,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.17185957,13.90624466,505,747,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.355468147,0.015623528,1,1803,10600,1822,180,1,2,87,0,2.788,1.824,-15.00234138,40,49,0.277343608,0.214843024,13.24970977,0.87890328,14.74233768,0.224608616,0,2023-04-17 14:16:53.058000+08:00,-0.63996,1.57542,0.12327,-2.23619,-2.10449,11.64301,-10.06558,47.2057,51.12314,Idle 1
2023-04-17 14:16:52.852998912+08:00,1007,0.777050013,0,0.092773124,0,855.6666632,12.18705882,0.46843137,0,5,0,94.21875,9.373647048,14.99858822,0.999952896,128,28,40.17185957,13.90624466,505,747,-3.28E-05,-1.64E-05,-3.28E-05,-1.64E-05,2.355468147,0.015623528,1,1803,10600,1822,180,1,2,87,0,2.788,1.824,-15.00234138,40,49,0.277343608,0.214843024,13.24970977,0.87890328,14.74233768,0.224608616,0,2023-04-17 14:16:53.109000+08:00,1.80098,-0.13376,0.1836,-1.66876,-1.53708,7.44118,-11.39572,47.96355,49.59972,Idle 1
